old_trait_name,breedbase_id,breedbase_name,breedbase_column_header
glassy kernels after malting,CO_323:0005568,Glassy kernels after malting - %,Glassy kernels after malting - %|CO_323:0005568
grain protein,CO_323:0000381,Grain Protein content - %,Grain Protein content - %|CO_323:0000381
hot water malt extract,CO_323:0000460,Malt hot water extract - %,Malt hot water extract - %|CO_323:0000460
limit dextrinase,CO_323:0005569,Limit dextrinase activity - megazyme - U/kg malt,Limit dextrinase activity - megazyme - U/kg malt|CO_323:0005569
lipoxygenase activity,CO_323:0005570,Lipoxygenase activity - megazyme - U/kg malt,Lipoxygenase activity - megazyme - U/kg malt|CO_323:0005570
malt beta-glucan,CO_323:0005571,Malt Beta Glucan content - ppm,Malt Beta Glucan content - ppm|CO_323:0005571
malt extract,CO_323:0005572,Malt extract - %,Malt extract - %|CO_323:0005572
malt protein,CO_323:0005573,Malt protein content - %,Malt protein content - %|CO_323:0005573
non-dormant %,CO_323:0005574,Non-dormant percentage - %,Non-dormant percentage - %|CO_323:0005574
partly unmodified grains after malting,CO_323:0005575,Partly unmodified grains after malting - %,Partly unmodified grains after malting - %|CO_323:0005575
plump grain,CO_323:0005576,Plump grains - %,Plump grains - %|CO_323:0005576
real degree of fermentation,CO_323:0005577,Real degree of fermentation - %,Real degree of fermentation - %|CO_323:0005577
residual beta-glucanase,CO_323:0005578,Residual Beta Glucanase activity - %,Residual Beta Glucanase activity - %|CO_323:0005578
soluble protein/ total protein,CO_323:0005579,Soluble Protein content - %,Soluble Protein content - %|CO_323:0005579
thermostable alpha amylase,CO_323:0005580,Thermostable Alpha Amylase activity - %,Thermostable Alpha Amylase activity - %|CO_323:0005580
thermostable alpha glucosidase,CO_323:0005581,Thermostable Alpha Glucosidase activity - %,Thermostable Alpha Glucosidase activity - %|CO_323:0005581
thermostable beta amylase,CO_323:0005582,Thermostable Beta Amylase activity - %,Thermostable Beta Amylase activity - %|CO_323:0005582
thermostable limit dextrinase,CO_323:0005583,Thermostable Limit Dextrinase activity - %,Thermostable Limit Dextrinase activity - %|CO_323:0005583
thin grains,CO_323:0005584,Thin grains - %,Thin grains - %|CO_323:0005584
total fermentable sugars,CO_323:0005585,Wort Fermentable Sugar content - g/100L,Wort Fermentable Sugar content - g/100L|CO_323:0005585
wort clarity,CO_323:0005586,Wort clarity - 1-3 Wort Clarity Rating,Wort clarity - 1-3 Wort Clarity Rating|CO_323:0005586
wort color,CO_323:0005587,Wort color - ASBC Color Rating,Wort color - ASBC Color Rating|CO_323:0005587
wort fructose,CO_323:0005588,Wort Fructose content - g/100L,Wort Fructose content - g/100L|CO_323:0005588
wort glucose,CO_323:0005589,Wort Glucose content - g/100L,Wort Glucose content - g/100L|CO_323:0005589
wort maltose,CO_323:0005590,Wort Maltose content - g/100L,Wort Maltose content - g/100L|CO_323:0005590
wort maltotriose,CO_323:0005591,Wort Maltotriose content - g/100L,Wort Maltotriose content - g/100L|CO_323:0005591
wort protein,CO_323:0005592,Wort Protein content - %,Wort Protein content - %|CO_323:0005592
wort viscosity,CO_323:0005593,Wort viscosity - cP,Wort viscosity - cP|CO_323:0005593
awn type,CO_323:0005594,Awn type - 1-8 Awn Type Scale,Awn type - 1-8 Awn Type Scale|CO_323:0005594
glossy sheath,CO_323:0005595,Glossy sheath presence - Absent-Present scale,Glossy sheath presence - Absent-Present scale|CO_323:0005595
glossy spike,CO_323:0005596,Glossy spike presence - Absent-Present scale,Glossy spike presence - Absent-Present scale|CO_323:0005596
grain width,CO_323:0005597,Grain width - mm,Grain width - mm|CO_323:0005597
kernels per spike,CO_323:0000369,Grain number per spike - grain,Grain number per spike - grain|CO_323:0000369
lemma and palea color,CO_323:0005598, Lemma colour - 0-1 Lemma color scale, Lemma colour - 0-1 Lemma color scale|CO_323:0005598
spike angle,CO_323:0000523,Spike attitude - 1-3 Attitude scale,Spike attitude - 1-3 Attitude scale|CO_323:0000523
spike density,CO_323:0005599,Spike density - average internode length - mm,Spike density - average internode length - mm|CO_323:0005599
Spike Density 2,CO_323:0005600,Spike density - nodes/cm rachis,Spike density - nodes/cm rachis|CO_323:0005600
spike exsertion,CO_323:0005601,Spike exsertion - mm,Spike exsertion - mm|CO_323:0005601
spike length,CO_323:0005602,Spike length - mm,Spike length - mm|CO_323:0005602
stem diameter,CO_323:0005603,Stem diameter - mm,Stem diameter - mm|CO_323:0005603
stem length,CO_323:0005604,Stem length - cm,Stem length - cm|CO_323:0005604
Threshability,CO_323:0005605,Threshability - 0-4 Threshability Rating,Threshability - 0-4 Threshability Rating|CO_323:0005605
alpha-tocopherol,CO_323:0005606,Alpha-Tocopherol content - ug/g,Alpha-Tocopherol content - ug/g|CO_323:0005606
alpha-tocotrienol,CO_323:0005607,Alpha-Tocotrienol content - ug/g,Alpha-Tocotrienol content - ug/g|CO_323:0005607
amylose content,CO_323:0005608,Amylose content - %,Amylose content - %|CO_323:0005608
beta-tocopherol,CO_323:0005609,Beta-Tocopherol content - ug/g,Beta-Tocopherol content - ug/g|CO_323:0005609
beta-tocotrienol,CO_323:0005610,Beta-Tocotrienol content - ug/g,Beta-Tocotrienol content - ug/g|CO_323:0005610
delta-tocopherol,CO_323:0005611,Beta-Tocotrienol content - ug/g,Beta-Tocotrienol content - ug/g|CO_323:0005611
delta-tocotrienol,CO_323:0005612,Beta-Tocotrienol content - ug/g,Beta-Tocotrienol content - ug/g|CO_323:0005612
dry matter digestibility,REMOVE,,
Fe,CO_323:0005613,Grain Iron content - ppm,Grain Iron content - ppm|CO_323:0005613
gamma-tocopherol,CO_323:0005614,Gamma-Tocopherol content - ug/g,Gamma-Tocopherol content - ug/g|CO_323:0005614
gamma-tocopherol + beta-tocotrienol,CO_323:0005615,Gamma-Tocopherol and Beta-Tocotrienol content - ug/g,Gamma-Tocopherol and Beta-Tocotrienol content - ug/g|CO_323:0005615
gamma-tocotrienol,CO_323:0005616,Gamma-Tocotrienol content - ug/g,Gamma-Tocotrienol content - ug/g|CO_323:0005616
hull proportion,CO_323:0005617,Hull proportion - %,Hull proportion - %|CO_323:0005617
phenolic compound content,CO_323:0005618,Phenolic Compound content - dry weight basis - %,Phenolic Compound content - dry weight basis - %|CO_323:0005618
polyphenol oxidase activity,CO_323:0005619,Polyphenol Oxidase activity - dry weight basis - Absorbance,Polyphenol Oxidase activity - dry weight basis - Absorbance|CO_323:0005619
Solvent Retention Capacity (water),REMOVE,,
Stirring number,REMOVE,,
total tocol,CO_323:0005620,Total tocol content - ug/g,Total tocol content - ug/g|CO_323:0005620
total tocopherol,CO_323:0005621,Total Tocopherol content - ug/g,Total Tocopherol content - ug/g|CO_323:0005621
total tocotrienol,CO_323:0005622,Total Tocotrienol content - ug/g,Total Tocotrienol content - ug/g|CO_323:0005622
Zn,CO_323:0005623,Grain Zinc content - ppm,Grain Zinc content - ppm|CO_323:0005623
fall planting heading date,CO_323:0005509,Heading time - days,Heading time - days|CO_323:0005509
spring planting heading date,CO_323:0005509,Heading time - days,Heading time - days|CO_323:0005509
vernalization score,CO_323:0005624,Vernalization score - day,Vernalization score - day|CO_323:0005624
winter hardiness,CO_323:0005625,Winter hardiness - %,Winter hardiness - %|CO_323:0005625
